\,target,x,y,dx1,dy1,dx2,dy2
59,slit60,412,512,1,1,1,1
60,slit61,512,512,1,5,1,10
61,slit62,612,512,1,1,1,1
62,slit63,712,512,1,1,1,1
63,slit64,812,512,1,1,1,1
64,slit65,912,512,1,1,1,1
65,slit66,1012,512,1,1,1,1
66,slit67,12,612,1,1,1,1
67,slit68,112,612,1,1,1,1
68,slit69,212,612,1,1,1,1
69,slit70,312,612,1,1,1,1
70,slit71,412,612,1,1,1,1
71,slit72,512,612,1,1,1,1
72,slit73,612,612,1,1,1,1
73,slit74,712,612,1,1,1,1
74,slit75,812,612,1,1,1,1
75,slit76,912,612,1,1,1,1
76,slit77,1012,612,1,1,1,1
77,slit78,12,712,1,1,1,1
78,slit79,112,712,1,1,1,1
79,slit80,212,712,1,1,1,1
80,slit81,312,712,1,1,1,1
81,slit82,412,712,1,1,1,1
82,slit83,512,712,1,1,1,1
83,slit84,612,712,1,1,1,1
84,slit85,712,712,1,1,1,1
85,slit86,812,712,1,1,1,1
86,slit87,912,712,1,1,1,1
87,slit88,1012,712,1,1,1,1
88,slit89,12,812,1,1,1,1
89,slit90,112,812,1,1,1,1
90,slit91,212,812,1,1,1,1
91,slit92,312,812,1,1,1,1
92,slit93,412,812,1,1,1,1
93,slit94,512,812,1,1,1,1
94,slit95,612,812,1,1,1,1
95,slit96,712,812,1,1,1,1
96,slit97,812,812,1,1,1,1
97,slit98,912,812,1,1,1,1
98,slit99,1012,812,1,1,1,1
99,slit100,12,912,1,1,1,1
100,slit101,112,912,1,1,1,1
101,slit102,212,912,1,1,1,1
102,slit103,312,912,1,1,1,1
103,slit104,412,912,1,1,1,1
104,slit105,512,912,1,1,1,1
105,slit106,612,912,1,1,1,1
106,slit107,712,912,1,1,1,1
107,slit108,812,912,1,1,1,1
108,slit109,912,912,1,1,1,1
109,slit110,1012,912,1,1,1,1
110,slit111,12,1012,1,1,1,1
111,slit112,112,1012,1,1,1,1
112,slit113,212,1012,1,1,1,1
113,slit114,312,1012,1,1,1,1
114,slit115,412,1012,1,1,1,1
115,slit116,512,1012,1,1,1,1
116,slit117,612,1012,1,1,1,1
117,slit118,712,1012,1,1,1,1
118,slit119,812,1012,1,1,1,1
119,slit120,912,1012,1,1,1,1
120,slit121,1012,1012,1,1,1,1